Faculty Name,University,Conference,Category,Score,Source File,Matched
Enhong Chen,USTC,CVPR,Computer Vision & Image Processing,0.1111111111111111,CVPR2022_621_fulln.csv,Yes
Enkelejda Kasneci,TU Munich,CVPR,Computer Vision & Image Processing,0.125,CVPR2022_621_fulln.csv,Yes
Eugene Belilovsky,Concordia University,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Evan Shelhamer,University of British Columbia,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Evangeline F. Y. Young,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Fengxiang He,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Ferenc Huszar,University of Cambridge,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Fisher Yu 0001,ETH Zurich,CVPR,Computer Vision & Image Processing,0.0769230769230769,CVPR2022_621_fulln.csv,Yes
Frank Hutter,University of Freiburg,CVPR,Computer Vision & Image Processing,2.0,CVPR2022_621_fulln.csv,Yes
Frederic Sala,University of Wisconsin - Madison,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Fuxin Li,Oregon State University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Gady Agam,Illinois Institute of Technology,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Gang Zeng,Peking University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Gedas Bertasius,University of North Carolina,CVPR,Computer Vision & Image Processing,2.583333333333333,CVPR2022_621_fulln.csv,Yes
Georgia Gkioxari,California Institute of Technology,CVPR,Computer Vision & Image Processing,1.0,CVPR2022_621_fulln.csv,Yes
Gerard Pons-Moll,University of Tübingen,CVPR,Computer Vision & Image Processing,0.45,CVPR2022_621_fulln.csv,Yes
Ghassan Hamarneh,Simon Fraser University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Gim Hee Lee,National University of Singapore,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Giovanni Maria Farinella,University of Catania,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Gordon Wetzstein,Stanford University,CVPR,Computer Vision & Image Processing,0.8,CVPR2022_621_fulln.csv,Yes
Guangming Lu,Harbin Institute of Technology,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Guha Balakrishnan,Rice University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Gui-Song Xia,Wuhan University,CVPR,Computer Vision & Image Processing,0.7,CVPR2022_621_fulln.csv,Yes
Guiguang Ding,Tsinghua University,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Guodong Guo,West Virginia University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Guosheng Lin,Nanyang Technological University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Gustavo Carneiro 0001,University of Surrey,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Gyeongsik Moon,Korea University,CVPR,Computer Vision & Image Processing,1.8333333333333333,CVPR2022_621_fulln.csv,Yes
Haggai Maron,Technion,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Haibin Ling,Stony Brook University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Hakan Bilen,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Hamed Pirsiavash,Univ. of California - Davis,CVPR,Computer Vision & Image Processing,0.6666666666666666,CVPR2022_621_fulln.csv,Yes
Hanbyul Joo,Seoul National University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Hao Su 0001,Univ. of California - San Diego,CVPR,Computer Vision & Image Processing,0.5269230769230769,CVPR2022_621_fulln.csv,Yes
Hazel Doughty,Leiden University,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Henghui Ding,Fudan University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Hengshuang Zhao,University of Hong Kong,CVPR,Computer Vision & Image Processing,0.65,CVPR2022_621_fulln.csv,Yes
Henry Gouk,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Hermann Ney,RWTH Aachen University,CVPR,Computer Vision & Image Processing,0.7833333333333332,CVPR2022_621_fulln.csv,Yes
Hilde Kuehne,University of Tübingen,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Hongdong Li,Australian National University,CVPR,Computer Vision & Image Processing,0.45,CVPR2022_621_fulln.csv,Yes
Honghui Shi,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.1111111111111111,CVPR2022_621_fulln.csv,Yes
Huaizu Jiang,Northeastern University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Hyun Soo Park,University of Minnesota,CVPR,Computer Vision & Image Processing,0.5833333333333333,CVPR2022_621_fulln.csv,Yes
Hyunwoo Park,Seoul National University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Ian D. Reid 0001,MBZUAI,CVPR,Computer Vision & Image Processing,0.3928571428571428,CVPR2022_621_fulln.csv,Yes
In So Kweon,KAIST,CVPR,Computer Vision & Image Processing,0.8999999999999999,CVPR2022_621_fulln.csv,Yes
Ioannis Mitliagkas,University of Montreal,CVPR,Computer Vision & Image Processing,0.45,CVPR2022_621_fulln.csv,Yes
Ivan Laptev,MBZUAI,CVPR,Computer Vision & Image Processing,1.309523809523809,CVPR2022_621_fulln.csv,Yes
J. Zico Kolter,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Jaakko Lehtinen,Aalto University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Jaegul Choo,KAIST,CVPR,Computer Vision & Image Processing,0.4166666666666666,CVPR2022_621_fulln.csv,Yes
Jakub M. Tomczak,VU Amsterdam,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
James C. Gee,University of Pennsylvania,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
James Hays,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.825,CVPR2022_621_fulln.csv,Yes
Jana Kosecka,George Mason University,CVPR,Computer Vision & Image Processing,0.4242424242424242,CVPR2022_621_fulln.csv,Yes
Jane Bromley,Open University UK,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Jeannette Bohg,Stanford University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Jeong Joon Park,University of Michigan,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Jesse Davis,KU Leuven,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Jia Deng 0001,Princeton University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Jianbing Shen,University of Macau,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Jianbo Shi,University of Pennsylvania,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Jiasi Chen,University of Michigan,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Jiaya Jia,HKUST,CVPR,Computer Vision & Image Processing,1.2428571428571429,CVPR2022_621_fulln.csv,Yes
Jilles Vreeken,CISPA Helmholtz Center,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Jimmy Ba,University of Toronto,CVPR,Computer Vision & Image Processing,2.5,CVPR2022_621_fulln.csv,Yes
Jingkuan Song,Tongji University,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Jingyi Yu,ShanghaiTech University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Jinwei Gu,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Jiri Matas,Czech Technical University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Jitendra Malik,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,4.0885281385281385,CVPR2022_621_fulln.csv,Yes
Jiying Zhao,University of Ottawa,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Joachim Weickert,Saarland University,CVPR,Computer Vision & Image Processing,0.75,CVPR2022_621_fulln.csv,Yes
John C. Duchi,Stanford University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
John F. Canny,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,1.0,CVPR2022_621_fulln.csv,Yes
Joonseok Lee,Seoul National University,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Jordi Torres,Polytechnic University of Catalonia,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Josef Sivic,Czech Technical University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Judy Hoffman,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Juergen Gall,University of Bonn,CVPR,Computer Vision & Image Processing,1.5095238095238093,CVPR2022_621_fulln.csv,Yes
Jun-Kun Wang,Univ. of California - San Diego,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Jun-Yan Zhu,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.3928571428571428,CVPR2022_621_fulln.csv,Yes
Junyuan Xie,Nanjing University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Justus Thies,TU Darmstadt,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Kai Li 0001,Princeton University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Kaiming He,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,7.216666666666668,CVPR2022_621_fulln.csv,Yes
Kaiqi Huang,Chinese Academy of Sciences,CVPR,Computer Vision & Image Processing,0.7261904761904762,CVPR2022_621_fulln.csv,Yes
Karthik Narasimhan,Princeton University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Kede Ma,City University of Hong Kong,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Kevin Smith,KTH Royal Institute of Technology,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Kostas Daniilidis,University of Pennsylvania,CVPR,Computer Vision & Image Processing,0.125,CVPR2022_621_fulln.csv,Yes
Kristian Kersting,TU Darmstadt,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Kui Jia,CUHK (SZ),CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Kwang In Kim,POSTECH,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Kwang Moo Yi,University of British Columbia,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Kyle Cranmer,University of Wisconsin - Madison,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Kyoung Mu Lee,Seoul National University,CVPR,Computer Vision & Image Processing,1.8333333333333333,CVPR2022_621_fulln.csv,Yes
Kyunghyun Cho,New York University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Lan Xu,ShanghaiTech University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Lance Williams,University of New Mexico,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Laura Leal-Taixé,TU Munich,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Laura Waller,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Laurent El Ghaoui,VinUniversity,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Lawrence Carin,Duke University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Leonidas J. Guibas,Stanford University,CVPR,Computer Vision & Image Processing,0.5269230769230769,CVPR2022_621_fulln.csv,Yes
Li Fei-Fei 0001,Stanford University,CVPR,Computer Vision & Image Processing,2.069047619047619,CVPR2022_621_fulln.csv,Yes
Li Yi 0001,Tsinghua University,CVPR,Computer Vision & Image Processing,0.0769230769230769,CVPR2022_621_fulln.csv,Yes
Liang Lin,Sun Yat-sen University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Linchao Bao,University of Birmingham,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Lingqiao Liu,University of Adelaide,CVPR,Computer Vision & Image Processing,0.325,CVPR2022_621_fulln.csv,Yes
Lior Wolf,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Lise Getoor,Univ. of California - Santa Cruz,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Lizhuang Ma,Shanghai Jiao Tong University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Lorenzo Baraldi,University of Modena and Reggio Emilia,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Louis-Philippe Morency,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Lourdes Agapito,University College London,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Luc De Raedt,KU Leuven,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Luc Van Gool,ETH Zurich,CVPR,Computer Vision & Image Processing,2.6,CVPR2022_621_fulln.csv,Yes
Maneesh Agrawala,Stanford University,CVPR,Computer Vision & Image Processing,0.375,CVPR2022_621_fulln.csv,Yes
Manmohan Chandraker,Univ. of California - San Diego,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Manolis Savva,Simon Fraser University,CVPR,Computer Vision & Image Processing,1.0344988344988344,CVPR2022_621_fulln.csv,Yes
Marc Alexa,TU Berlin,CVPR,Computer Vision & Image Processing,0.1111111111111111,CVPR2022_621_fulln.csv,Yes
Marcella Cornia,University of Modena and Reggio Emilia,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Marcus Rohrbach,TU Darmstadt,CVPR,Computer Vision & Image Processing,0.8678571428571429,CVPR2022_621_fulln.csv,Yes
Markus H. Gross,ETH Zurich,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Marleen de Bruijne,University of Copenhagen,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Martial Hebert,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,1.3333333333333333,CVPR2022_621_fulln.csv,Yes
Martin Jaggi,EPFL,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Mathieu Salzmann,EPFL,CVPR,Computer Vision & Image Processing,0.7833333333333333,CVPR2022_621_fulln.csv,Yes
Matthias Bethge,University of Tübingen,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Matthias Hein 0001,University of Tübingen,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
